# MLLW datum factors, added to model water level (xGEOID20B) to
# reference it to MLLW. Generated by tools/gen_ak_datum_offsets.py from
# coastalmodeling-vdatum (nwldatum_4.7.0 ITRF2020 LMSL/MLLW surfaces,
# differenced against xGEOID20B at each station); do not hand-edit.
#
# source: coastalmodeling-vdatum vertical-datum transformation surfaces (nwldatum_4.7.0, ITRF2020), not a CO-OPS control file
#
# datum_note: model zero = xGEOID20B is a working assumption pending confirmation; factors from nwldatum 4.7.0 ITRF2020 surfaces (~9 cm transform uncertainty; CO-OPS tidal epoch 1983-2001)
#
# station_row is the 1-based row order of station.in, which is the
# station dimension order SCHISM writes. Column 1 of station.in is a
# per-group counter and is NOT a station key.
#
# Premise: model zero is xGEOID20B. Working assumption pending
# confirmation from Felicio Cassalho -- stofs_3d_ak_ufs ships no
# xgeoid->datum .nco yet (obc.ssh_offset in
# parm/systems/stofs_3d_ak_ufs.yaml is null, "UNVERIFIED for Alaska").
# If wrong, the fix is not a constant shift applied to every factor below
# -- the datum difference varies spatially, so the factors would need to
# be regenerated against whichever reference surface model zero actually is.
#
# Epoch caveat: these surfaces are referenced to epoch 2020.0
# (ITRF2020); CO-OPS's own MLLW is defined over the National Tidal
# Datum Epoch 1983-2001. That gap is within coastalmodeling-vdatum's
# own quoted ~9 cm transform uncertainty for this region and is not
# separately corrected for here.
#
# Coordinates are the model station nodes (this file's own source,
# fix/stofs_3d_ak_ufs/stofs_3d_ak_staout_nc.csv), not the CO-OPS gauge
# coordinates -- up to ~860 m apart at Unalakleet -- since the shift
# is needed at the point the model actually samples.
#
# Only the 9 CO-OPS water-level gauges (station.in rows 1-9) get a
# factor; rows 10-22 (NDBC buoys, synthetic modulation points) have no
# tidal datum and are simply absent, as SECOFS also omits stations its
# control file does not cover.
#
# Regenerate with:
#   python3 tools/gen_ak_datum_offsets.py \
#       --station-csv fix/stofs_3d_ak_ufs/stofs_3d_ak_staout_nc.csv \
#       --out fix/stofs_3d_ak_ufs/stofs_3d_ak_ufs.mllw_datum.csv
station_row,gauge_id,coops_code,station_label,mllw_factor,lon,lat
1,9459450,,CO-OPS 9459450 AK Sand Point,0.889,-160.504,55.332
2,9459881,,CO-OPS 9459881 AK King Cove,0.782,-162.3259,55.06
3,9461380,,CO-OPS 9461380 AK Adak Island,0.531,-176.618,51.861
4,9461710,,CO-OPS 9461710 AK Atka,0.503,-174.173,52.222
5,9462450,,CO-OPS 9462450 AK Nikolski,0.492,-168.871,52.941
6,9462620,,CO-OPS 9462620 AK Unalaska,0.418,-166.54,53.879
7,9464212,,"CO-OPS 9464212 AK Village Cove, St Paul Island",0.409,-170.285,57.125
8,9468333,,CO-OPS 9468333 AK Unalakleet,0.255,-160.803,63.871
9,9468756,,"CO-OPS 9468756 AK Nome, Norton Sound",0.187,-165.465,64.495
